Running Auctions
Waiting Auctions
Auction Type,Case #,Certificate #,Opening Bid,Parcel ID,Property Address,Assessed Value,
TAXDEED , 17TD139,2015/1359,$4.882.16, 05-3N-23-0010-000B-0180,403 GIL-AVA ST CRESTVIEW. FL- 32536,$58.556.00
TAXDEED , 17TD141,2015/1568,$59.850.92, 08-1S-22-0000-0097-0010,1411 28TH ST NICEVILLE. FL- 32578,$111.928.00
TAXDEED , 17TD144,2015/1874,$3.109.27, 10-2N-24-0000-0002-0990,1901 REGAN DR CRESTVIEW. FL- 32536,$37.995.00
TAXDEED , 18TD001,2015/2036,$2.132.64, 11-3N-22-0000-0002-0430,LOT 15 FAWN LAKE RD CRESTVIEW. FL- 32536,$3.405.00
TAXDEED , 18TD002,2013/4473,$2.425.20, 33-3N-25-0000-0014-0010,4648 COOPER ST HOLT. FL- 32564,$21.704.00
TAXDEED , 18TD004,2015/2518,$2.578.82, 15-4N-23-1000-000B-0060,3152 DORIS ST CRESTVIEW. FL- 32536,$29.355.00
TAXDEED , 18TD005,2015/2552,$1.817.98, 16-2N-25-0000-0004-0370,NO ADDRESS HOLT. FL- 32564,$13.664.00
TAXDEED , 18TD006,2015/2707,$1.508.33, 16-3N-23-0000-0055-0000,UNKNOWN,$9.265.00
TAXDEED , 18TD007,2015/2745,$1.496.64, 16-3N-24-0000-0021-0000,UNKNOWN,$6.458.00
TAXDEED , 18TD008,2015/3234,$2.120.03, 20-3N-23-2390-0010-0070,455 HILL AVE CRESTVIEW. FL- 32536,$13.017.00
TAXDEED , 18TD010,2015/3821,$2.193.31, 30-4N-22-0000-0005-0170,3819 GOLDEN ACRES CIR CRESTVIEW. FL- 32536,$14.173.00
TAXDEED , 18TD011,2011/1387,$10.206.91, 03-4N-23-1000-000D-0020,6501 TORREY PINES TRACE LAUREL HILL. FL- 32567,$755.00
Closed Auctions
Auction Type,Case #,Certificate #,Opening Bid,Parcel ID,Property Address,Assessed Value,
TAXDEED , 17TD135,2015/334,$6.624.05, 00-2S-22-2311-0000-1205,4203 INDIAN BAYOU TRL,$108.000.00
TAXDEED , 17TD136,2017/659,$34.099.65, 02-2S-24-1004-0003-0060,611 MANCHESTER RD FT WALTON BEACH. FL- 32547,$64.041.00
TAXDEED , 18TD009,2015/3682,$2.294.49, 26-4N-23-0000-0003-034A,6196 JONQUIL ST CRESTVIEW. FL- 32536,$20.764.00
