AL1 2PH
AL1 5HA
AL1 5HB
AL10 0PF
AL10 9AB
AL10 9EU
AL10 9GL
AL10 9LR
AL10 9PL
AL10 9QZ
AL2 1UN
AL2 2FH
AL4 0JG
AL4 0XH
AL7 4JQ
AL7 4SQ
AL9 6NS
B1 1SB
B1 2LJ
B1 2NB
B10 0JB
B10 0JE
B10 0JJ
B10 0NP
B10 0TG
B10 9AR
B10 9BB
B10 9BD
B10 9DN
B10 9DW
B10 9ER
B10 9JY
B10 9LN
B10 9NA
B10 9NE
B10 9NH
B10 9PA
B10 9PD
B10 9PT
B10 9RD
B11 1HH
B11 1NU
B11 1PS
B11 1PY
B11 1QJ
B11 1RW
B11 1TH
B11 1TL
B11 1TS
B11 1TU
B11 1TY
B11 1TZ
B11 1UE
B11 2HT
B11 2NG
B11 2QL
B11 3AJ
B11 3AY
B11 3AZ
B11 3BH
B11 3BJ
B11 3BN
B11 3FJ
B11 3HB
B11 3JA
B11 3JH
B11 3LD
B11 3LE
B11 3LL
B11 3NS
B11 3SB
B11 3SH
B11 3SW
B11 4DB
B11 4DD
B11 4DE
B11 4DR
B11 4DT
B11 4HB
B11 4HP
B11 4LG
B11 4LJ
B11 4LQ
B11 4NR
B11 4NT
B11 4NX
B11 4PP
B11 4PS
B11 4PT
B11 4QU
B11 4RE
B12 8QY
B12 8UT
B12 9LJ
B12 9LQ
B12 9NG
B12 9PX
B13 9LJ
B13 9LX
B14 4ER
B15 1NE
B15 1NH
B15 2NL
B15 2QU
B15 2RB
B15 2RE
B15 2RQ
B15 2RU
B15 3SS
B15 3SX
B15 3TF
B16 0EU
B16 0HG
B16 0JX
B16 0PF
B16 0RP
B16 0RS
B16 8DP
B16 9LJ
B17 8DJ
B18 4AS
B18 4BJ
B18 4EZ
B19 1ED
B19 1QJ
B19 1QN
B19 1QS
B19 1QX
B19 1SA
B19 1TR
B19 2AT
B19 2BA
B19 2JG
B19 2LT
B19 3SJ
B2 4NS
B20 2HP
B20 3EH
B21 0TR
B21 0UB
B21 8AU
B21 8PP
B21 9AY
B21 9HT
B21 9JG
B21 9NQ
B23 5NE
B23 6AG
B23 6AH
B23 7PF
B24 8HT
B24 8PX
B25 8BH
B25 8BX
B25 8HP
B26 1LL
B27 6SY
B27 7HJ
B27 7JR
B27 7XZ
B28 9DS
B29 5SH
B29 6AG
B29 6BL
B29 6BP
B29 6BU
B29 6DB
B29 6EJ
B29 6EL
B29 6EP
B29 6ER
B29 6FG
B29 6FQ
